qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
7,2020,32814,10882,21932,2238,estimated,-0.1569528936204882,0.0787492989890668,-0.3113015196390591,-0.0026042676019173,-0.2958290324060855,0.0123608322306448,0.9023917359499712,0.7713142123242219,Electrochemical materials,0.0462537431791718,0.2804842666179827
8,2015,21095,8023,13072,3248,estimated,-0.4656421513270457,0.1563629554347816,-0.7721135439792177,-0.1591707586748736,-0.7496990155318383,-0.160454497911413,4.129424783398358,2.592171569713032,Humanities & politics,0.0029017673017481,0.0793149729144486
8,2016,22615,8767,13848,3501,estimated,-0.197565174124852,0.1887759121301861,-0.5675659619000168,0.1724356136503126,-0.5800615780162365,0.1733114423813287,3.405865901221913,2.7952849071797083,Humanities & politics,0.2953029116824663,0.6832727129319809
8,2017,24223,9333,14890,3545,estimated,-0.1150326913916075,0.1768550264702474,-0.4616685432732925,0.2316031604900774,-0.4841484589282022,0.2084635826855793,3.203411982998829,2.8553196407322665,Humanities & politics,0.5154113036884668,0.8597150854953639
8,2018,25644,10076,15568,3718,estimated,-0.0402544006933199,0.1546259444727751,-0.3433212518599592,0.2628124504733192,-0.3171378031443853,0.2863022642319117,2.9416521694075723,2.8255894146767635,Humanities & politics,0.7946060980912983,0.9505531091190016
8,2019,27435,10719,16716,3918,estimated,-0.0346345317429523,0.2205883809257122,-0.4669877583573483,0.3977186948714435,-0.4724046655960147,0.4023438098260952,3.5824659888178307,3.46051303895275,Humanities & politics,0.8752371454399814,0.9537169056447417
8,2020,30397,11727,18670,4184,estimated,-0.144895143664704,0.0944401506920272,-0.3299978390210773,0.0402075516916692,-0.3240160161045769,0.0300935766963765,3.712623393686281,3.211838765449369,Humanities & politics,0.1249672694628671,0.4309255069857282
9,2015,27811,13977,13834,1940,estimated,-0.0731126957024646,0.1188477503495874,-0.3060542863876561,0.1598288949827268,-0.3058755509963891,0.1586306007617536,2.05430711217162,1.9094703953691865,Cell & neural biology,0.5384362063479873,0.8597150854953639
9,2016,25781,12904,12877,1961,estimated,-0.0285456013195588,0.1417738843201281,-0.30642241458701,0.2493312119478922,-0.2817788839342164,0.2434871837113666,2.0231484371487314,1.966212943513883,Cell & neural biology,0.8404280537942392,0.9505531091190016
9,2017,24334,12095,12239,2015,estimated,-0.0264872680690341,0.107817674787906,-0.23780991065333,0.1848353745152618,-0.2228741359894236,0.2027165421295895,2.1949519738285512,2.137576901334171,Cell & neural biology,0.8059398518982887,0.9505531091190016
9,2018,24458,11707,12751,2110,estimated,0.0465918107645806,0.0918026494181474,-0.1333413820949883,0.2265250036241496,-0.1252320307690148,0.2206872266429169,2.3825239447751243,2.4961566714137207,Cell & neural biology,0.6117890126121461,0.8597150854953639
9,2019,23288,11380,11908,2141,estimated,-0.0038600617747218,0.0694207064703094,-0.1399246464565283,0.1322045229070845,-0.1327433986693484,0.127094728477168,2.6143384840208457,2.6042664278581835,Cell & neural biology,0.9556573603836463,0.991948146221
9,2020,23847,11889,11958,2212,estimated,-0.0533591890476715,0.0922185077256623,-0.2341074641899696,0.1273890860946265,-0.2300292913411158,0.1334996885676831,2.8513963416721984,2.703236150886109,Cell & neural biology,0.5628476843422341,0.8597150854953639
