analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
ipw,intensity_vs_probability,log_ratio_contrast,,,-0.08727849671832208,0.08187499392751302,-0.2477534848162476,0.07319649137960343,-0.24478120777000228,0.09019368193659524,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,far_all32,absolute,2.876300766022177,2.511252085894811,-0.36504868012741815,0.15935737815768095,-0.6773891413164728,-0.05270821893836347,-0.6857881459032307,-0.03463604577070789,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,far_all32,log_mean_ratio,2.876300766022177,2.511252085894811,-0.1357235445178029,0.05548853852417016,-0.24448108002517643,-0.026966009010429393,-0.24858201948692119,-0.02088667782814284,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,any_far_all32,absolute,0.457967230464232,0.4534833291600681,-0.0044839013041917735,0.004267410853072709,-0.012848026576214283,0.003880223967830735,-0.013618591973345093,0.003251579875761256,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,any_far_all32,log_mean_ratio,0.457967230464232,0.4534833291600681,-0.009839123866997312,0.009432419068182053,-0.028326665240634135,0.00864841750663951,-0.03034298192559996,0.007441221368268727,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,n_macros_cited_named31,absolute,1.5201126725907763,1.4777152522631443,-0.042397420327885314,0.018668108829792387,-0.0789869136342784,-0.005807927021492236,-0.0788527191904705,-0.008569977276935271,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,n_macros_cited_named31,log_mean_ratio,1.5201126725907763,1.4777152522631443,-0.02828731231781334,0.012481455305411527,-0.052750964716419935,-0.003823659919206749,-0.053195314163795575,-0.005890639789239477,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,n_macros_cited_all32,absolute,1.5344995392309186,1.492103155066342,-0.04239638416461398,0.019326121776237645,-0.08027558284603976,-0.004517185483188191,-0.0794831751856085,-0.006603246495066532,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,n_macros_cited_all32,log_mean_ratio,1.5344995392309186,1.492103155066342,-0.028017656628523124,0.012786879389252477,-0.05307994023145798,-0.002955373025588272,-0.05280158596195465,-0.0048368231669229655,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
aipw,far_given_any_far,absolute,6.280582047554873,5.537694385692442,-0.7428876618624318,0.34025624140275373,-1.409789895011829,-0.07598542871303449,-1.4164372642756389,-0.04889680048994342,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/estimates.csv,
